gene,dbeta,feature,ID,cluster
ABCA4,0.443312,TSS1500,cg12869058,2
ACCN4,0.380599,TSS1500,cg24586121,2
ADORA2B,0.385252,TSS200,cg05916671,2
AGAP2,0.465194,TSS1500,cg22505898,2
ALDH1A3,0.391162,TSS1500,cg17797372,3
ALDH1L1,-0.319233,TSS1500,cg21601837,3
AP4B1,-0.312453,TSS1500,cg04872610,3
APBB1,0.334611,TSS1500,cg25315855,2
APOC3,0.342646,TSS200,cg18170454,3
ARMC3,0.348186,TSS200,cg08839858,3
ARRB2,0.349692,TSS200,cg11475493,3
ATE1,0.324548,TSS1500,cg14274609,3
ATG3,0.383455,TSS200,cg00785783,3
ATL3,0.314069,TSS200,cg02761940,3
B4GALNT4,0.427074,TSS1500,cg15481161,3
BCL2L15,-0.310849,TSS1500,cg08266106,1
BEST4,-0.335315,TSS1500,cg04162691,2
BMPER,0.386811,TSS1500,cg24236887,3
BOD1,0.396344,TSS200,cg11498079,3
BRD2,-0.314677,TSS1500,cg12024328,3
BRD3,0.36455,TSS1500,cg13648682,3
BSND,0.312444,TSS1500,cg14615807,2
BTRC,0.311106,TSS200,cg00363811,3
C15orf2,0.334137,TSS200,cg08922032,3
C17orf104,0.553516,TSS200,cg12127472,3
C1orf212,0.342928,TSS1500,cg19275040,2
C20orf72,0.396918,TSS1500,cg09646206,3
C2orf89,-0.359421,TSS1500,cg19401472,3
C6orf72,0.329683,TSS1500,cg16324746,3
CABLES2,0.370867,TSS200,cg10822866,3
CAMK2B,0.415653,TSS200,cg20561716,3
CAMTA1,0.320446,TSS1500,cg10989261,1
CCBE1,0.402614,TSS1500,cg07126263,3
CCDC15,0.353011,TSS200,cg02513924,3
CCDC19,-0.315502,TSS200,cg02849695,3
CCDC3,-0.328017,TSS200,cg15167008,3
CDC25B,0.356777,TSS200,cg00314018,3
CDH8,0.328102,TSS200,cg07681938,2
CHMP4B,0.310119,TSS200,cg00997172,3
CITED4,0.322663,TSS200,cg15123881,1
CLSPN,0.312557,TSS200,cg04263115,1
CNNM1,0.31477,TSS200,cg20255874,2
COL9A3,0.367324,TSS1500,cg15266508,3
COLEC12,0.474123,TSS200,cg16943083,2
COMMD1,0.326596,TSS200,cg15013768,3
COX4NB,0.369389,TSS200,cg08152499,3
CPNE7,0.383376,TSS200,cg26916410,3
CPNE8,-0.311075,TSS200,cg26510017,3
CRKL,0.34654,TSS200,cg20100936,2
CRLS1,0.330087,TSS200,cg23054166,3
CYB5B,0.453749,TSS200,cg03491503,3
CYP2S1,0.318379,TSS200,cg03620853,3
DDAH2,-0.38605,TSS200,cg00608605,3
DDX49,0.360343,TSS1500,cg17816495,1
DHX8,-0.332083,TSS200,cg22105090,1
DIRAS1,0.323758,TSS1500,cg18036235,2
DISP2,0.365943,TSS200,cg07970400,2
DNAJC30,0.327888,TSS1500,cg23834064,3
DNMT1,0.339686,TSS200,cg23401624,1
DPAGT1,0.380126,TSS200,cg01811064,3
DPF2,0.374909,TSS1500,cg19517014,3
DPYSL5,0.34277,TSS200,cg10713073,2
DR1,0.3645,TSS200,cg14843772,1
DTNBP1,0.350726,TSS200,cg07172036,2
EDC4,-0.384682,TSS200,cg03304078,3
EFCAB4B,0.323078,TSS200,cg26955987,2
ELOVL3,-0.388298,TSS200,cg11459006,3
EVX2,0.400962,TSS200,cg07411620,1
FAM126A,0.331136,TSS200,cg13002945,2
FAM163A,0.351253,TSS200,cg27297088,2
FAM171B,0.389865,TSS1500,cg26839791,2
FAM46A,0.377566,TSS1500,cg04761653,3
FASTK,0.393079,TSS1500,cg27608032,1
FBRSL1,0.311768,TSS1500,cg18450555,3
FCRL2,0.334154,TSS1500,cg04559323,2
FKBP2,0.487075,TSS1500,cg10998122,3
FOXD1,0.324928,TSS1500,cg19541747,1
FOXP4,0.543129,TSS200,cg02446366,1
FXR2,0.336321,TSS1500,cg05529097,3
FZD1,0.331786,TSS1500,cg25027689,2
GALNT11,-0.375479,TSS200,cg02159402,3
GALNTL1,0.375186,TSS1500,cg20937016,3
GBX1,0.415184,TSS200,cg18003214,1
GDAP2,0.370504,TSS200,cg14787290,2
GEMIN5,0.375791,TSS200,cg09865476,1
GPN1,0.395807,TSS200,cg07628841,3
GPR176,0.33033,TSS1500,cg14136810,2
GREM1,0.435366,TSS200,cg10429922,3
GRIK2,0.548067,TSS200,cg13080565,2
GRIN2A,0.388022,TSS1500,cg08621611,2
GSTM4,0.394876,TSS200,cg01564068,3
HES4,0.371757,TSS1500,cg15825501,1
HIST1H1C,-0.333138,TSS200,cg04290376,1
HNRNPF,0.323881,TSS1500,cg05101083,1
HOOK2,0.315101,TSS200,cg27347727,3
HOXD3,-0.338566,TSS200,cg01128482,1
HTRA1,0.348687,TSS200,cg12746356,3
HTT,0.363373,TSS200,cg08288806,2
ICOSLG,0.360818,TSS1500,cg09800026,2
ID2,0.32123,TSS1500,cg23322531,3
IGF1R,0.353739,TSS1500,cg17375167,2
IGSF21,-0.343484,TSS1500,cg07091548,2
IKBKB,0.420583,TSS1500,cg22517316,3
IQCG,0.399626,TSS200,cg22374290,3
IRF2,0.324172,TSS200,cg15105154,1
IRF2BP1,0.316895,TSS200,cg27137978,1
IRF7,0.314788,TSS1500,cg07652350,1
IRF8,0.332934,TSS200,cg03978375,1
ITGA10,0.419598,TSS1500,cg04221738,2
ITGB1,-0.339977,TSS1500,cg12812502,2
JMJD4,0.333377,TSS1500,cg09796739,3
KCNE1,0.339049,TSS200,cg14535332,2
KCNG3,-0.318274,TSS1500,cg13787029,2
KCNJ5,-0.315453,TSS200,cg17341965,2
KCNQ1DN,0.396702,TSS1500,cg26457809,3
KHDRBS2,0.535128,TSS200,cg26715952,1
