gene,ID_TCGA,dbeta_TCGA,feature_TCGA,ID_GEO,dbeta_GEO,feature_GEO
ACCN1,cg24613080,0.434244,TSS1500,cg24613080,0.364237,TSS1500
ADCY4,cg23179456,0.428719,TSS200,cg23179456,0.325656,TSS200
ANGPTL2,cg08076018,0.482661,TSS200,cg08076018,0.295667,TSS200
ATP5G2,cg04418091,0.410361,TSS1500,cg16264705,0.263601,TSS1500
BARHL2,cg11823511,0.49122,TSS1500,cg11823511,0.327363,TSS1500
BNC1,cg18952647,0.386745,TSS1500,cg26654798,0.293606,TSS1500
C10orf82,cg10616411,-0.333738,TSS1500,cg10616411,-0.289914,TSS1500
C1orf114,cg08047907,0.58616,TSS200,cg00002719,0.435917,TSS200
C21orf130,cg20727124,-0.363844,TSS1500,cg20727124,-0.350968,TSS1500
C5orf20,cg13577149,-0.338793,TSS1500,cg26611500,-0.325713,TSS200
C7orf16,cg23348723,-0.362691,TSS1500,cg23348723,-0.38057,TSS1500
CA3,cg18674980,0.451532,TSS1500,cg18674980,0.381598,TSS1500
CFTR,cg00735923,0.443626,TSS200,cg17204129,0.333193,TSS1500
CNTNAP5,cg08523865,0.378053,TSS1500,cg13358636,0.321026,TSS1500
CTSA,cg08260891,0.43491,TSS1500,cg08260891,0.266109,TSS1500
DARC,cg10808936,-0.332673,TSS1500,cg10808936,-0.295687,TSS1500
DDAH2,cg17983217,0.352868,TSS200,cg00124375,0.275786,TSS200
DDIT4L,cg25071651,0.405379,TSS1500,cg25071651,0.332119,TSS1500
DEFB115,cg09968709,-0.348313,TSS200,cg09968709,-0.359267,TSS200
DLGAP2,cg12618806,-0.406275,TSS200,cg12618806,-0.335643,TSS200
DNM3,cg17154724,0.5053,TSS1500,cg17154724,0.425296,TSS1500
FAM177B,cg19672873,-0.357402,TSS200,cg19672873,-0.260373,TSS200
FCER1A,cg14696870,-0.402546,TSS1500,cg14696870,-0.27232,TSS1500
FGF8,cg06169131,0.386841,TSS1500,cg25209842,0.287349,TSS1500
GNG4,cg09649610,0.454769,TSS1500,cg17816394,0.30856,TSS1500
H2AFY,cg24628744,0.370583,TSS1500,cg15613420,0.3118,TSS1500
HCK,cg17508991,0.422,TSS1500,cg17508991,0.300364,TSS1500
HIST1H1A,cg15741433,0.358785,TSS200,cg14652095,0.317099,TSS200
HOXA10,cg14625175,0.393172,TSS200,cg14625175,0.262457,TSS200
HOXA4,cg11015251,0.382842,TSS200,cg11015251,0.285392,TSS200
ITPRIPL1,cg24161793,0.40333,TSS1500,cg05497345,0.26461,TSS1500
KCNAB1,cg24926465,-0.390168,TSS1500,cg24926465,-0.303735,TSS1500
LAMA4,cg11934419,0.390958,TSS200,cg18080303,0.275453,TSS1500
LEP,cg00840332,0.41654,TSS200,cg00840332,0.274036,TSS200
LOC121952,cg10628699,0.36722,TSS1500,cg22954906,0.265862,TSS1500
LOC134466,cg05016408,0.442367,TSS200,cg05016408,0.291549,TSS200
LOC145837,cg23093870,-0.33945,TSS1500,cg23093870,-0.300126,TSS1500
LOC257358,cg00191458,-0.380459,TSS1500,cg00191458,-0.335534,TSS1500
LOC340094,cg10435838,-0.367361,TSS200,cg13453847,-0.372558,TSS200
LOC400804,cg19865770,-0.456767,TSS1500,cg19865770,-0.278963,TSS1500
LOC727677,cg04557423,-0.335749,TSS1500,cg05261028,-0.371811,TSS1500
LRP4,cg09242181,0.401304,TSS1500,cg09242181,0.262753,TSS1500
MIR1197,cg25562958,-0.333331,TSS1500,cg25562958,-0.272599,TSS1500
MIR129-2,cg14416371,0.438146,TSS200,cg14416371,0.315659,TSS200
MIR663,cg20395967,0.482025,TSS1500,cg20395967,0.326228,TSS1500
MIR921,cg24554839,-0.373029,TSS1500,cg24428232,-0.346934,TSS1500
MMP26,cg02940362,-0.331109,TSS1500,cg02940362,-0.28607,TSS1500
MRGPRD,cg16659728,-0.347615,TSS200,cg16659728,-0.327813,TSS200
NDRG2,cg18081258,0.423298,TSS1500,cg18081258,0.271497,TSS1500
NKX2-6,cg10603004,0.379686,TSS1500,cg22747746,0.301606,TSS1500
NPY,cg05158615,0.42422,TSS1500,cg05158615,0.312004,TSS1500
NUP62,cg04315771,0.335541,TSS1500,cg04315771,0.321618,TSS1500
OPCML,cg18710784,0.404201,TSS1500,cg22791045,-0.339589,TSS1500
OPN3,cg16013670,-0.390845,TSS1500,cg16013670,-0.309056,TSS1500
OR10J5,cg07037019,-0.368976,TSS1500,cg12068949,-0.288582,TSS1500
OR8B8,cg11195360,-0.342491,TSS1500,cg16612699,-0.314958,TSS1500
PA2G4P4,cg08651937,-0.359339,TSS1500,cg25738116,-0.292613,TSS1500
PAX3,cg15133719,0.400704,TSS200,cg15133719,0.273953,TSS200
PFN3,cg06847624,0.404873,TSS200,cg20095656,0.29849,TSS200
PRLHR,cg20624923,0.403245,TSS1500,cg02531437,0.272075,TSS200
PTPRN,cg03970036,0.439727,TSS200,cg01382864,0.316939,TSS200
RASSF1,cg04540383,0.414221,TSS1500,cg27569446,0.312059,TSS200
RGS17,cg17264670,0.421022,TSS1500,cg17264670,0.344431,TSS1500
RGS22,cg24848035,0.430895,TSS200,cg23208513,0.34738,TSS200
SBK2,cg02363969,-0.330406,TSS1500,cg00149708,-0.310516,TSS1500
SCT,cg25774643,0.351334,TSS200,cg25774643,0.283556,TSS200
SERPING1,cg15617545,0.39457,TSS1500,cg04772947,-0.278369,TSS1500
SFRP2,cg05164933,0.405443,TSS200,cg22178613,0.28575,TSS1500
SGIP1,cg00460049,0.395417,TSS1500,cg00460049,0.265148,TSS1500
SIM1,cg27252696,0.513484,TSS1500,cg27252696,0.323112,TSS1500
SLC2A10,cg27610561,-0.333687,TSS1500,cg27610561,-0.303822,TSS1500
SLC2A2,cg14777768,0.513241,TSS1500,cg14777768,0.283239,TSS1500
SNORD32B,cg06308109,-0.331681,TSS1500,cg06308109,-0.30166,TSS1500
SPOCK2,cg02909446,-0.369228,TSS1500,cg02909446,-0.281549,TSS1500
SYN2,cg02700894,0.372823,TSS1500,cg20888142,0.319267,TSS200
SYT6,cg19901801,0.353743,TSS1500,cg19901801,0.268942,TSS1500
TBX20,cg17985646,0.3518,TSS200,cg17985646,0.3061,TSS200
