selection_model,train_model,features,fpr,tpr,threshold
SVM,XGBoost,1,"[0.0, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.16666666666666666, 0.20833333333333334, 0.20833333333333334, 0.25, 0.3333333333333333, 0.4583333333333333, 1.0]","[0.0, 0.4583333333333333, 0.6666666666666666, 0.75, 0.75, 0.7916666666666666, 0.7916666666666666, 0.8333333333333334, 0.875, 0.875, 0.875, 1.0]","[       inf 0.96333593 0.95892566 0.64388734 0.48005435 0.30234927
 0.27495366 0.26690003 0.26628092 0.13139248 0.11383668 0.07265918]"
SVM,RandomForest,1,"[0.0, 0.041666666666666664, 0.041666666666666664, 0.4166666666666667, 0.4583333333333333, 0.5, 0.5, 0.5416666666666666, 0.5416666666666666, 0.5833333333333334, 1.0]","[0.0, 0.5833333333333334, 0.7916666666666666, 0.7916666666666666, 0.8333333333333334, 0.8333333333333334, 0.875, 0.875, 0.9166666666666666, 0.9166666666666666, 1.0]","[       inf 1.         0.57198413 0.18213203 0.16333333 0.16124695
 0.15630952 0.13833333 0.10736111 0.02272727 0.        ]"
SVM,SVM,1,"[0.0, 0.0, 0.0, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.16666666666666666, 0.5416666666666666, 0.5416666666666666, 0.6666666666666666, 0.6666666666666666, 0.7083333333333334, 0.7083333333333334, 1.0]","[0.0, 0.041666666666666664, 0.125, 0.125, 0.75, 0.75, 0.7916666666666666, 0.7916666666666666, 0.875, 0.875, 0.9166666666666666, 0.9166666666666666, 0.9583333333333334, 0.9583333333333334, 1.0, 1.0]","[       inf 0.99425698 0.99248965 0.97606283 0.69325676 0.57341143
 0.46164985 0.35242866 0.30475811 0.07827703 0.07396627 0.05782322
 0.05334139 0.04642749 0.0449522  0.02025884]"
SVM,DecisionTree,1,"[0.0, 0.20833333333333334, 1.0]","[0.0, 0.75, 1.0]",[inf  1.  0.]
SVM,XGBoost,2,"[0.0, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.25, 0.2916666666666667, 0.3333333333333333, 0.3333333333333333, 0.375, 0.5, 0.5416666666666666, 1.0]","[0.0, 0.625, 0.6666666666666666, 0.6666666666666666, 0.75, 0.875, 0.875, 0.9166666666666666, 0.9166666666666666, 0.9583333333333334, 0.9583333333333334, 0.9583333333333334, 0.9583333333333334, 1.0]","[       inf 0.96725625 0.9571205  0.6676241  0.59230196 0.2664796
 0.16563596 0.155559   0.14221379 0.12712027 0.10657527 0.05703827
 0.05416779 0.05046219]"
SVM,RandomForest,2,"[0.0, 0.041666666666666664, 0.041666666666666664, 0.16666666666666666, 0.16666666666666666, 0.25, 0.25, 0.2916666666666667, 0.2916666666666667, 0.3333333333333333, 0.3333333333333333, 0.625, 1.0]","[0.0, 0.625, 0.75, 0.75, 0.7916666666666666, 0.7916666666666666, 0.875, 0.875, 0.9166666666666666, 0.9166666666666666, 0.9583333333333334, 0.9583333333333334, 1.0]","[       inf 1.         0.5822619  0.43333333 0.38166667 0.26166667
 0.2        0.14166667 0.1175     0.105      0.0925     0.0125
 0.        ]"
SVM,SVM,2,"[0.0, 0.0, 0.0, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.08333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5833333333333334, 0.5833333333333334, 0.75, 0.75, 1.0]","[0.0, 0.041666666666666664, 0.25, 0.25, 0.6666666666666666, 0.6666666666666666, 0.875, 0.875, 0.9166666666666666, 0.9166666666666666, 0.9583333333333334, 0.9583333333333334, 1.0, 1.0]","[       inf 0.98170133 0.97878377 0.9777604  0.93927833 0.7376255
 0.35951494 0.09405139 0.083198   0.05974095 0.05836831 0.0520413
 0.05148741 0.04756066]"
SVM,DecisionTree,2,"[0.0, 0.125, 0.20833333333333334, 0.20833333333333334, 0.25, 1.0]","[0.0, 0.7083333333333334, 0.75, 0.8333333333333334, 0.8333333333333334, 1.0]",[ inf 1.   0.75 0.5  0.25 0.  ]
SVM,XGBoost,3,"[0.0, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.25, 0.2916666666666667, 0.2916666666666667, 0.375, 0.4166666666666667, 0.5416666666666666, 1.0]","[0.0, 0.5416666666666666, 0.75, 0.75, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.8333333333333334, 0.875, 0.875, 0.9583333333333334, 0.9583333333333334, 1.0]","[       inf 0.8020869  0.5237159  0.49702027 0.45465398 0.39949873
 0.38174304 0.34060317 0.3271563  0.31841853 0.28477338 0.28100133
 0.23151109]"
SVM,RandomForest,3,"[0.0, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.25, 0.2916666666666667, 0.375, 0.375, 0.4583333333333333, 0.5833333333333334, 1.0]","[0.0, 0.5416666666666666, 0.7083333333333334, 0.7083333333333334, 0.75, 0.75, 0.75, 0.7916666666666666, 0.7916666666666666, 0.875, 0.875, 0.875, 1.0]","[       inf 1.         0.83333333 0.61666667 0.46       0.3
 0.23333333 0.2        0.16666667 0.1        0.06666667 0.025
 0.        ]"
SVM,SVM,3,"[0.0, 0.0, 0.0, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.16666666666666666, 0.4583333333333333, 0.4583333333333333, 0.5, 0.5, 1.0, 1.0]","[0.0, 0.041666666666666664, 0.2916666666666667, 0.2916666666666667, 0.7916666666666666, 0.7916666666666666, 0.8333333333333334, 0.8333333333333334, 0.875, 0.875, 0.9166666666666666, 0.9166666666666666, 0.9583333333333334, 0.9583333333333334, 1.0]","[       inf 0.99326536 0.98927121 0.98904733 0.56155213 0.42519567
 0.27838859 0.16499915 0.15257829 0.05293103 0.05116294 0.04767098
 0.04167749 0.03209327 0.03199817]"
SVM,DecisionTree,3,"[0.0, 0.08333333333333333, 0.125, 0.20833333333333334, 1.0]","[0.0, 0.7083333333333334, 0.7916666666666666, 0.8333333333333334, 1.0]",[       inf 1.         0.5        0.33333333 0.        ]
SVM,XGBoost,4,"[0.0, 0.0, 0.0, 0.041666666666666664, 0.041666666666666664, 0.125, 0.125, 0.25, 0.25, 0.2916666666666667, 0.2916666666666667, 0.5833333333333334, 0.5833333333333334, 1.0, 1.0]","[0.0, 0.125, 0.20833333333333334, 0.25, 0.7916666666666666, 0.7916666666666666, 0.8333333333333334, 0.8333333333333334, 0.875, 0.875, 0.9166666666666666, 0.9166666666666666, 0.9583333333333334, 0.9583333333333334, 1.0]","[       inf 0.9885203  0.987998   0.98728687 0.32199463 0.20557822
 0.19125134 0.15091161 0.12270291 0.10340946 0.098713   0.02943815
 0.02909266 0.01245454 0.01230688]"
SVM,RandomForest,4,"[0.0, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.08333333333333333, 0.20833333333333334, 1.0]","[0.0, 0.5833333333333334, 0.6666666666666666, 0.75, 0.7916666666666666, 0.7916666666666666, 0.8333333333333334, 0.9583333333333334, 1.0]",[inf 1.  0.8 0.7 0.6 0.4 0.3 0.1 0. ]
SVM,SVM,4,"[0.0, 0.041666666666666664, 0.041666666666666664, 0.08333333333333333, 0.08333333333333333, 0.25, 0.25, 0.3333333333333333, 0.3333333333333333, 0.4166666666666667, 0.4166666666666667, 0.7083333333333334, 0.7083333333333334, 1.0]","[0.0, 0.0, 0.75, 0.75, 0.8333333333333334, 0.8333333333333334, 0.875, 0.875, 0.9166666666666666, 0.9166666666666666, 0.9583333333333334, 0.9583333333333334, 1.0, 1.0]","[       inf 0.99999982 0.72689734 0.53235629 0.33512621 0.18348722
 0.13800503 0.11951513 0.10823959 0.06292628 0.06177968 0.02735939
 0.02066782 0.00810867]"
SVM,DecisionTree,4,"[0.0, 0.20833333333333334, 1.0]","[0.0, 0.7083333333333334, 1.0]",[inf  1.  0.]
