estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
XGBoost,AKR7L,C10orf26,FOXI2,MIR21,"[0.0, 0.015384615384615385, 0.03076923076923077, 0.046153846153846156, 0.046153846153846156, 0.046153846153846156, 0.046153846153846156, 0.06153846153846154, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.2, 0.24615384615384617, 0.24615384615384617, 0.26153846153846155, 0.6153846153846154, 0.6153846153846154, 0.6307692307692307, 0.6307692307692307, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9538461538461539, 0.9538461538461539, 0.9846153846153847, 0.9846153846153847, 1.0, 1.0]","[0.0, 0.015384615384615385, 0.06153846153846154, 0.06153846153846154, 0.13846153846153847, 0.16923076923076924, 0.18461538461538463, 0.18461538461538463, 0.2153846153846154, 0.24615384615384617, 0.27692307692307694, 0.2923076923076923, 0.3384615384615385, 0.35384615384615387, 0.36923076923076925, 0.4153846153846154, 0.4307692307692308, 0.4307692307692308, 0.46153846153846156, 0.49230769230769234, 0.5384615384615384, 0.6, 0.7230769230769231, 0.7538461538461538, 0.8, 0.9076923076923077, 0.9076923076923077, 0.9538461538461539, 0.9538461538461539, 0.9692307692307692, 0.9692307692307692, 1.0]","[       inf 0.9772037  0.9769677  0.9767845  0.974146   0.971951
 0.9684712  0.96835494 0.96643084 0.96396196 0.9631562  0.9629879
 0.96179813 0.9615557  0.95858425 0.9579009  0.95638293 0.95472485
 0.95456976 0.95437455 0.94827664 0.9346953  0.90557605 0.9052515
 0.904958   0.8475043  0.80807483 0.7799622  0.7772248  0.7642575
 0.73922324 0.21778017]"
XGBoost,AKR7L,C10orf26,OTP,MIR21,"[0.0, 0.015384615384615385, 0.015384615384615385, 0.03076923076923077, 0.06153846153846154, 0.06153846153846154, 0.16923076923076924, 0.16923076923076924, 0.38461538461538464, 0.5230769230769231, 0.5692307692307692, 0.8769230769230769, 0.9076923076923077, 0.9076923076923077, 0.9230769230769231, 0.9230769230769231, 0.9230769230769231, 0.9538461538461539, 0.9538461538461539, 0.9538461538461539, 0.9846153846153847, 0.9846153846153847, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.015384615384615385, 0.03076923076923077, 0.03076923076923077, 0.046153846153846156, 0.07692307692307693, 0.07692307692307693, 0.09230769230769231, 0.12307692307692308, 0.15384615384615385, 0.15384615384615385, 0.15384615384615385, 0.18461538461538463, 0.23076923076923078, 0.23076923076923078, 0.27692307692307694, 0.35384615384615387, 0.35384615384615387, 0.4, 0.46153846153846156, 0.46153846153846156, 0.47692307692307695, 0.47692307692307695, 0.5076923076923077, 0.5692307692307692, 0.6, 0.676923076923077, 0.7846153846153846, 0.8153846153846154, 0.8461538461538461, 0.9076923076923077, 0.9384615384615385, 0.9538461538461539, 0.9846153846153847, 1.0]","[       inf 0.9978957  0.99736017 0.9960406  0.99448216 0.9930841
 0.9929051  0.9911109  0.9895018  0.9878441  0.98685825 0.98569053
 0.98210484 0.9723846  0.96979326 0.9577271  0.9482978  0.94499403
 0.8751572  0.8745433  0.86178416 0.84406036 0.82004    0.7880749
 0.7847374  0.77462    0.5677712  0.5481914  0.40630406 0.3624321
 0.3331548  0.31560105 0.30622894 0.15957704 0.08671307]"
XGBoost,AKR7L,CXCL5,FOXI2,MIR21,"[0.0, 0.0, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.03076923076923077, 0.06153846153846154, 0.06153846153846154, 0.09230769230769231, 0.16923076923076924, 0.23076923076923078, 0.23076923076923078, 0.2923076923076923, 0.3230769230769231, 0.4307692307692308, 0.7076923076923077, 0.7384615384615385, 0.7538461538461538, 0.7538461538461538, 0.7538461538461538, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.8, 0.8461538461538461, 0.8769230769230769, 0.8769230769230769, 0.8923076923076924, 0.9230769230769231, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9538461538461539, 0.9538461538461539, 0.9538461538461539, 0.9692307692307692, 0.9692307692307692, 1.0, 1.0]","[0.0, 0.046153846153846156, 0.046153846153846156, 0.07692307692307693, 0.1076923076923077, 0.1076923076923077, 0.1076923076923077, 0.12307692307692308, 0.12307692307692308, 0.12307692307692308, 0.12307692307692308, 0.13846153846153847, 0.13846153846153847, 0.15384615384615385, 0.15384615384615385, 0.18461538461538463, 0.2, 0.2, 0.24615384615384617, 0.27692307692307694, 0.27692307692307694, 0.3230769230769231, 0.36923076923076925, 0.36923076923076925, 0.36923076923076925, 0.36923076923076925, 0.4, 0.4, 0.4, 0.4, 0.47692307692307695, 0.5076923076923077, 0.676923076923077, 0.676923076923077, 0.7384615384615385, 0.7692307692307693, 0.7692307692307693, 0.8307692307692308, 0.8307692307692308, 1.0]","[       inf 0.99795604 0.9978866  0.9974892  0.997445   0.9973367
 0.99727446 0.99721897 0.9971265  0.997104   0.9970528  0.99680185
 0.9967033  0.99662626 0.99661165 0.9965519  0.99651647 0.9965017
 0.9952461  0.9952206  0.9946964  0.99421656 0.99300706 0.9928134
 0.9926872  0.9926125  0.9918508  0.99127555 0.99107295 0.99079204
 0.9867027  0.98490113 0.9618639  0.96123517 0.9594467  0.95274854
 0.9490259  0.9354005  0.90862375 0.42544854]"
XGBoost,AKR7L,CXCL5,OTP,MIR21,"[0.0, 0.0, 0.0, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.03076923076923077, 0.03076923076923077, 0.35384615384615387, 0.35384615384615387, 0.4153846153846154, 0.49230769230769234, 0.5538461538461539, 0.5538461538461539, 0.7692307692307693, 0.7692307692307693, 0.7692307692307693, 0.9076923076923077, 0.9076923076923077, 0.9076923076923077, 0.9076923076923077, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9538461538461539, 0.9538461538461539, 0.9846153846153847, 0.9846153846153847, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.046153846153846156, 0.07692307692307693, 0.07692307692307693, 0.12307692307692308, 0.15384615384615385, 0.2153846153846154, 0.2153846153846154, 0.27692307692307694, 0.3230769230769231, 0.35384615384615387, 0.35384615384615387, 0.4307692307692308, 0.4307692307692308, 0.46153846153846156, 0.49230769230769234, 0.5230769230769231, 0.5384615384615384, 0.5384615384615384, 0.5846153846153846, 0.6, 0.6307692307692307, 0.6307692307692307, 0.676923076923077, 0.7076923076923077, 0.8153846153846154, 0.8615384615384616, 0.8615384615384616, 0.8769230769230769, 0.8769230769230769, 0.9076923076923077, 0.9076923076923077, 0.9538461538461539, 0.9846153846153847, 1.0]","[       inf 0.9977666  0.99638164 0.9963432  0.9935901  0.99284196
 0.9823615  0.9785886  0.9538306  0.9523571  0.9470319  0.94195825
 0.94009894 0.92418975 0.91232544 0.91214055 0.9079662  0.9054042
 0.9024355  0.89967793 0.8970478  0.8876973  0.8789654  0.87199557
 0.86122686 0.77243125 0.7688417  0.6360192  0.6084494  0.5407422
 0.48035058 0.4470751  0.31768245 0.12954073 0.07399132]"
XGBoost,AKR7L,GNG4,FOXI2,MIR21,"[0.0, 0.0, 0.8615384615384616, 0.8615384615384616, 0.8615384615384616, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9538461538461539, 0.9846153846153847, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.06153846153846154, 0.2, 0.24615384615384617, 0.27692307692307694, 0.36923076923076925, 0.38461538461538464, 0.5846153846153846, 0.676923076923077, 0.7076923076923077, 0.7384615384615385, 0.7692307692307693, 0.7846153846153846, 0.7846153846153846, 0.7846153846153846, 0.7846153846153846, 0.8461538461538461, 0.8769230769230769, 0.9538461538461539, 0.9846153846153847, 1.0]","[       inf 0.977432   0.976105   0.96457404 0.9546323  0.95324767
 0.9449688  0.9447139  0.9399328  0.9390109  0.9381991  0.9341965
 0.86743265 0.8461481  0.83360755 0.75025713 0.6342344  0.6123345
 0.5919848  0.5847396  0.56192315]"
XGBoost,AKR7L,GNG4,OTP,MIR21,"[0.0, 0.0, 0.0, 0.015384615384615385, 0.015384615384615385, 0.015384615384615385, 0.3230769230769231, 0.3230769230769231, 0.3384615384615385, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.5230769230769231, 0.5230769230769231, 0.5692307692307692, 0.5692307692307692, 0.5846153846153846, 0.5846153846153846, 0.5846153846153846, 0.6, 0.6, 0.6, 0.6153846153846154, 0.6153846153846154, 0.9076923076923077, 0.9076923076923077, 0.9538461538461539, 0.9538461538461539, 0.9692307692307692, 0.9692307692307692, 1.0, 1.0]","[0.0, 0.015384615384615385, 0.03076923076923077, 0.03076923076923077, 0.12307692307692308, 0.15384615384615385, 0.23076923076923078, 0.24615384615384617, 0.24615384615384617, 0.26153846153846155, 0.3076923076923077, 0.3384615384615385, 0.4, 0.4307692307692308, 0.49230769230769234, 0.5538461538461539, 0.5846153846153846, 0.6153846153846154, 0.6153846153846154, 0.6615384615384615, 0.6615384615384615, 0.676923076923077, 0.7384615384615385, 0.7384615384615385, 0.7538461538461538, 0.7846153846153846, 0.7846153846153846, 0.8307692307692308, 0.8307692307692308, 0.8615384615384616, 0.8769230769230769, 0.9384615384615385, 0.9384615384615385, 0.9846153846153847, 0.9846153846153847, 1.0]","[       inf 0.99787164 0.997577   0.99729854 0.9939913  0.99387807
 0.9921571  0.99206626 0.99107844 0.99006045 0.98472124 0.98384655
 0.9823418  0.9792489  0.9756168  0.9699817  0.96668965 0.9614732
 0.96028733 0.9525302  0.9512822  0.9427347  0.9233621  0.9037493
 0.90266854 0.9009219  0.8971045  0.8706931  0.8693151  0.8504116
 0.8396857  0.817325   0.8037066  0.5469405  0.31434113 0.27112398]"
XGBoost,AKR7L,LEP,FOXI2,MIR21,"[0.0, 0.03076923076923077, 0.03076923076923077, 0.046153846153846156, 0.046153846153846156, 0.09230769230769231, 0.35384615384615387, 0.38461538461538464, 0.4, 0.46153846153846156, 0.46153846153846156, 0.6615384615384615, 0.6923076923076923, 0.7076923076923077, 0.7384615384615385, 0.7384615384615385, 0.7384615384615385, 0.7538461538461538, 0.7538461538461538, 0.7846153846153846, 0.7846153846153846, 0.8307692307692308, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 0.8769230769230769, 0.8769230769230769, 0.8769230769230769, 0.8923076923076924, 0.8923076923076924, 0.9076923076923077, 0.9076923076923077, 0.9230769230769231, 0.9230769230769231, 0.9384615384615385, 0.9384615384615385, 0.9538461538461539, 0.9538461538461539, 0.9538461538461539, 0.9692307692307692, 0.9692307692307692, 0.9846153846153847, 0.9846153846153847, 0.9846153846153847, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.06153846153846154, 0.07692307692307693, 0.07692307692307693, 0.09230769230769231, 0.09230769230769231, 0.1076923076923077, 0.13846153846153847, 0.15384615384615385, 0.15384615384615385, 0.16923076923076924, 0.2, 0.2, 0.2, 0.2, 0.23076923076923078, 0.24615384615384617, 0.24615384615384617, 0.27692307692307694, 0.27692307692307694, 0.2923076923076923, 0.2923076923076923, 0.2923076923076923, 0.3384615384615385, 0.36923076923076925, 0.4153846153846154, 0.4153846153846154, 0.4307692307692308, 0.47692307692307695, 0.47692307692307695, 0.5384615384615384, 0.5384615384615384, 0.5692307692307692, 0.5692307692307692, 0.5846153846153846, 0.5846153846153846, 0.6307692307692307, 0.6307692307692307, 0.6461538461538462, 0.676923076923077, 0.676923076923077, 0.7384615384615385, 0.7538461538461538, 0.8153846153846154, 0.9230769230769231, 0.9230769230769231, 0.9538461538461539, 0.9846153846153847, 1.0]","[       inf 0.9982956  0.99825734 0.9980598  0.9980331  0.99788934
 0.99787164 0.9975955  0.9972951  0.9967249  0.9965289  0.9964863
 0.996473   0.9964323  0.99615663 0.99592775 0.9957054  0.9956364
 0.99532783 0.9950925  0.9949521  0.9948718  0.994592   0.9916121
 0.99119776 0.98975545 0.9895544  0.98922557 0.9887683  0.9880484
 0.9865507  0.98555404 0.98393285 0.98258394 0.98112285 0.9807997
 0.97933507 0.97929215 0.9792478  0.97837627 0.9782453  0.9681976
 0.967979   0.9655975  0.8437656  0.8419807  0.7700763  0.6069403
 0.04623564]"
XGBoost,AKR7L,LEP,OTP,MIR21,"[0.0, 0.06153846153846154, 0.06153846153846154, 0.06153846153846154, 0.06153846153846154, 0.09230769230769231, 0.09230769230769231, 0.13846153846153847, 0.13846153846153847, 0.2, 0.2, 0.2153846153846154, 0.2153846153846154, 0.24615384615384617, 0.26153846153846155, 0.26153846153846155, 0.26153846153846155, 0.27692307692307694, 0.3384615384615385, 0.3384615384615385, 0.3384615384615385, 0.35384615384615387, 0.36923076923076925, 0.36923076923076925, 0.38461538461538464, 0.38461538461538464, 0.4, 0.4, 0.4, 0.4, 0.4153846153846154, 0.4153846153846154, 0.4153846153846154, 0.4153846153846154, 0.4461538461538462, 0.4461538461538462, 0.47692307692307695, 0.47692307692307695, 0.5076923076923077, 0.5384615384615384, 0.5538461538461539, 0.6153846153846154, 0.6307692307692307, 0.6615384615384615, 0.676923076923077, 0.7384615384615385, 0.7384615384615385, 0.7384615384615385, 0.7538461538461538, 0.7538461538461538, 0.7692307692307693, 0.9384615384615385, 0.9384615384615385, 0.9538461538461539, 0.9538461538461539, 0.9538461538461539, 0.9692307692307692, 0.9692307692307692, 0.9846153846153847, 0.9846153846153847, 0.9846153846153847, 1.0, 1.0]","[0.0, 0.03076923076923077, 0.046153846153846156, 0.07692307692307693, 0.09230769230769231, 0.09230769230769231, 0.1076923076923077, 0.1076923076923077, 0.13846153846153847, 0.13846153846153847, 0.18461538461538463, 0.18461538461538463, 0.2, 0.2, 0.2, 0.24615384615384617, 0.26153846153846155, 0.26153846153846155, 0.26153846153846155, 0.27692307692307694, 0.3076923076923077, 0.3076923076923077, 0.3230769230769231, 0.35384615384615387, 0.35384615384615387, 0.36923076923076925, 0.36923076923076925, 0.38461538461538464, 0.4307692307692308, 0.46153846153846156, 0.46153846153846156, 0.49230769230769234, 0.5076923076923077, 0.5538461538461539, 0.5692307692307692, 0.6153846153846154, 0.6153846153846154, 0.6461538461538462, 0.6461538461538462, 0.6615384615384615, 0.6615384615384615, 0.6615384615384615, 0.6615384615384615, 0.6615384615384615, 0.6615384615384615, 0.6615384615384615, 0.7384615384615385, 0.7538461538461538, 0.7538461538461538, 0.7692307692307693, 0.7692307692307693, 0.8, 0.8153846153846154, 0.8153846153846154, 0.8307692307692308, 0.8923076923076924, 0.8923076923076924, 0.9076923076923077, 0.9076923076923077, 0.9538461538461539, 0.9846153846153847, 0.9846153846153847, 1.0]","[       inf 0.9978933  0.99761415 0.9973139  0.9972836  0.9972589
 0.996896   0.99594706 0.9954594  0.9947299  0.994713   0.994333
 0.99403423 0.9935237  0.99345523 0.99326515 0.99316615 0.9917528
 0.9915848  0.9905696  0.9898588  0.98928946 0.9851756  0.9811654
 0.98080164 0.9799707  0.9777695  0.9757126  0.96971714 0.96543646
 0.9651899  0.9634996  0.96013564 0.95805806 0.9559522  0.95584905
 0.9556022  0.95303464 0.94712174 0.9455416  0.944482   0.9434504
 0.9428342  0.9349107  0.92896664 0.92300713 0.9173199  0.9167596
 0.9005455  0.89497864 0.8893725  0.87545043 0.8582733  0.84638584
 0.83941513 0.82384825 0.81159407 0.800599   0.79670566 0.7362814
 0.6023439  0.460447   0.10584163]"
XGBoost,AKR7L,SRGN,FOXI2,MIR21,"[0.0, 0.0, 0.0, 0.015384615384615385, 0.046153846153846156, 0.09230769230769231, 0.12307692307692308, 0.15384615384615385, 0.15384615384615385, 0.15384615384615385, 0.3076923076923077, 0.3230769230769231, 0.4153846153846154, 0.4153846153846154, 0.46153846153846156, 0.46153846153846156, 0.49230769230769234, 0.5076923076923077, 0.6, 0.6153846153846154, 0.6307692307692307, 0.6307692307692307, 0.6615384615384615, 0.676923076923077, 0.676923076923077, 0.6923076923076923, 0.6923076923076923, 0.7076923076923077, 0.7076923076923077, 0.7230769230769231, 0.7538461538461538, 0.7692307692307693, 0.8307692307692308, 0.8615384615384616, 0.8769230769230769, 0.8769230769230769, 0.9230769230769231, 0.9230769230769231, 0.9384615384615385, 0.9384615384615385, 0.9384615384615385, 0.9538461538461539, 0.9538461538461539, 0.9692307692307692, 0.9692307692307692, 0.9692307692307692, 0.9692307692307692, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.015384615384615385, 0.03076923076923077, 0.046153846153846156, 0.046153846153846156, 0.046153846153846156, 0.046153846153846156, 0.046153846153846156, 0.06153846153846154, 0.09230769230769231, 0.09230769230769231, 0.09230769230769231, 0.09230769230769231, 0.1076923076923077, 0.1076923076923077, 0.16923076923076924, 0.16923076923076924, 0.16923076923076924, 0.18461538461538463, 0.18461538461538463, 0.2, 0.2153846153846154, 0.2153846153846154, 0.2153846153846154, 0.23076923076923078, 0.23076923076923078, 0.26153846153846155, 0.26153846153846155, 0.3076923076923077, 0.3076923076923077, 0.3230769230769231, 0.3230769230769231, 0.3384615384615385, 0.3384615384615385, 0.3384615384615385, 0.35384615384615387, 0.35384615384615387, 0.4153846153846154, 0.4153846153846154, 0.4461538461538462, 0.46153846153846156, 0.46153846153846156, 0.5846153846153846, 0.5846153846153846, 0.7230769230769231, 0.7538461538461538, 0.7846153846153846, 0.7846153846153846, 0.8461538461538461, 0.8769230769230769, 1.0]","[       inf 0.99822086 0.9981665  0.99770606 0.99755126 0.99731004
 0.99724185 0.99655616 0.99639004 0.9962446  0.99609023 0.9957064
 0.99551433 0.9954941  0.99530244 0.9951504  0.9950317  0.9948998
 0.99485224 0.9946719  0.99453    0.9944811  0.99428564 0.9941351
 0.9937272  0.9936865  0.9935963  0.9935069  0.99291176 0.99244153
 0.9921691  0.991865   0.9918202  0.99176097 0.99170613 0.99139214
 0.98924303 0.98334944 0.98311377 0.9822426  0.9806985  0.9798915
 0.9626852  0.9566431  0.93618125 0.93260616 0.8782789  0.84803015
 0.78748155 0.77524805 0.17082907]"
XGBoost,AKR7L,SRGN,OTP,MIR21,"[0.0, 0.0, 0.015384615384615385, 0.015384615384615385, 0.03076923076923077, 0.03076923076923077, 0.046153846153846156, 0.046153846153846156, 0.06153846153846154, 0.06153846153846154, 0.07692307692307693, 0.07692307692307693, 0.1076923076923077, 0.1076923076923077, 0.1076923076923077, 0.12307692307692308, 0.18461538461538463, 0.2, 0.23076923076923078, 0.24615384615384617, 0.24615384615384617, 0.26153846153846155, 0.36923076923076925, 0.4153846153846154, 0.4307692307692308, 0.4307692307692308, 0.4461538461538462, 0.4461538461538462, 0.5230769230769231, 0.5230769230769231, 0.7846153846153846, 0.8307692307692308, 0.8307692307692308, 0.8461538461538461, 0.8769230769230769, 0.9230769230769231, 0.9230769230769231, 0.9384615384615385, 0.9384615384615385, 0.9538461538461539, 0.9538461538461539, 1.0, 1.0, 1.0, 1.0]","[0.0, 0.015384615384615385, 0.015384615384615385, 0.03076923076923077, 0.03076923076923077, 0.07692307692307693, 0.07692307692307693, 0.09230769230769231, 0.1076923076923077, 0.13846153846153847, 0.13846153846153847, 0.15384615384615385, 0.15384615384615385, 0.18461538461538463, 0.2, 0.2, 0.23076923076923078, 0.23076923076923078, 0.23076923076923078, 0.23076923076923078, 0.24615384615384617, 0.24615384615384617, 0.26153846153846155, 0.26153846153846155, 0.26153846153846155, 0.27692307692307694, 0.27692307692307694, 0.2923076923076923, 0.2923076923076923, 0.3384615384615385, 0.35384615384615387, 0.35384615384615387, 0.36923076923076925, 0.36923076923076925, 0.38461538461538464, 0.38461538461538464, 0.4307692307692308, 0.4307692307692308, 0.5076923076923077, 0.5076923076923077, 0.7692307692307693, 0.7692307692307693, 0.8153846153846154, 0.8461538461538461, 1.0]","[       inf 0.9975198  0.9964502  0.9962658  0.9943658  0.98997575
 0.9897092  0.98942727 0.9873355  0.9838383  0.9835053  0.9833609
 0.9824181  0.97680503 0.975054   0.97453815 0.9737084  0.9730892
 0.9722233  0.9721329  0.97147983 0.971333   0.9710803  0.9707639
 0.9701545  0.9687246  0.96867853 0.9680047  0.9676837  0.9659989
 0.9655902  0.96409446 0.96407354 0.9638172  0.9637801  0.9617954
 0.9545831  0.9539029  0.9487878  0.9315741  0.75126475 0.6711994
 0.46489644 0.44599584 0.05363832]"
