estimator_name,gene_0,gene_1,gene_2,gene_3,fpr,tpr,threshold
DecisionTree,C1orf114,BHLHE23,TMEM196,SCARF1,"[0.0, 0.15384615384615385, 0.38461538461538464, 0.46153846153846156, 1.0]","[0.0, 0.7692307692307693, 0.7692307692307693, 0.9230769230769231, 1.0]",[       inf 1.         0.5        0.33333333 0.        ]
DecisionTree,C1orf150,BHLHE23,MIR377,SCARF1,"[0.0, 0.23076923076923078, 0.5384615384615384, 1.0]","[0.0, 0.46153846153846156, 0.6153846153846154, 1.0]",[       inf 1.         0.66666667 0.        ]
DecisionTree,C1orf150,BHLHE23,PATE2,SCARF1,"[0.0, 0.46153846153846156, 1.0]","[0.0, 0.6153846153846154, 1.0]",[inf  1.  0.]
DecisionTree,C1orf150,BHLHE23,PCK1,SCARF1,"[0.0, 0.3076923076923077, 0.3076923076923077, 1.0]","[0.0, 0.6923076923076923, 0.7692307692307693, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,C1orf150,BHLHE23,RALYL,SCARF1,"[0.0, 0.07692307692307693, 0.15384615384615385, 0.6153846153846154, 0.6923076923076923, 1.0]","[0.0, 0.6153846153846154, 0.6923076923076923, 0.9230769230769231, 1.0, 1.0]",[       inf 1.         0.66666667 0.5        0.33333333 0.        ]
DecisionTree,C1orf150,BHLHE23,SNORD115-10,SCARF1,"[0.0, 0.23076923076923078, 0.38461538461538464, 0.6923076923076923, 0.7692307692307693, 0.7692307692307693, 1.0]","[0.0, 0.46153846153846156, 0.6923076923076923, 0.7692307692307693, 0.7692307692307693, 0.8461538461538461, 1.0]","[       inf 1.         0.6        0.33333333 0.25       0.2
 0.        ]"
DecisionTree,C1orf150,BHLHE23,TMEM196,SCARF1,"[0.0, 0.15384615384615385, 0.15384615384615385, 0.15384615384615385, 0.23076923076923078, 1.0]","[0.0, 0.6153846153846154, 0.6923076923076923, 0.8461538461538461, 0.8461538461538461, 1.0]",[       inf 1.         0.66666667 0.5        0.33333333 0.        ]
DecisionTree,DCD,BHLHE23,MIR377,SCARF1,"[0.0, 0.46153846153846156, 0.5384615384615384, 1.0]","[0.0, 0.46153846153846156, 0.5384615384615384, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,DCD,BHLHE23,PATE2,SCARF1,"[0.0, 0.15384615384615385, 0.23076923076923078, 0.5384615384615384, 1.0]","[0.0, 0.5384615384615384, 0.6153846153846154, 0.8461538461538461, 1.0]",[       inf 1.         0.66666667 0.5        0.        ]
DecisionTree,DCD,BHLHE23,PCK1,SCARF1,"[0.0, 0.3076923076923077, 0.46153846153846156, 0.6153846153846154, 1.0]","[0.0, 0.6153846153846154, 0.6153846153846154, 0.6923076923076923, 1.0]",[       inf 1.         0.5        0.33333333 0.        ]
DecisionTree,DCD,BHLHE23,RALYL,SCARF1,"[0.0, 0.3076923076923077, 0.3076923076923077, 0.38461538461538464, 1.0]","[0.0, 0.6923076923076923, 0.8461538461538461, 0.8461538461538461, 1.0]",[       inf 1.         0.5        0.33333333 0.        ]
DecisionTree,DCD,BHLHE23,SNORD115-10,SCARF1,"[0.0, 0.5384615384615384, 1.0]","[0.0, 0.5384615384615384, 1.0]",[inf  1.  0.]
DecisionTree,DCD,BHLHE23,TMEM196,SCARF1,"[0.0, 0.23076923076923078, 0.3076923076923077, 0.46153846153846156, 0.6153846153846154, 1.0]","[0.0, 0.6153846153846154, 0.6923076923076923, 0.7692307692307693, 1.0, 1.0]",[       inf 1.         0.66666667 0.5        0.33333333 0.        ]
DecisionTree,DLC1,BHLHE23,MIR377,SCARF1,"[0.0, 0.5384615384615384, 0.8461538461538461, 1.0]","[0.0, 0.5384615384615384, 0.6153846153846154, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,DLC1,BHLHE23,PATE2,SCARF1,"[0.0, 0.5384615384615384, 1.0]","[0.0, 0.6923076923076923, 1.0]",[inf  1.  0.]
DecisionTree,DLC1,BHLHE23,PCK1,SCARF1,"[0.0, 0.07692307692307693, 0.38461538461538464, 0.6923076923076923, 0.8461538461538461, 0.9230769230769231, 1.0]","[0.0, 0.5384615384615384, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 0.8461538461538461, 1.0]","[       inf 1.         0.66666667 0.5        0.33333333 0.25
 0.        ]"
DecisionTree,DLC1,BHLHE23,RALYL,SCARF1,"[0.0, 0.15384615384615385, 0.15384615384615385, 0.23076923076923078, 0.38461538461538464, 1.0]","[0.0, 0.6153846153846154, 0.7692307692307693, 0.8461538461538461, 0.8461538461538461, 1.0]",[       inf 1.         0.66666667 0.5        0.25       0.        ]
DecisionTree,DLC1,BHLHE23,SNORD115-10,SCARF1,"[0.0, 0.15384615384615385, 0.38461538461538464, 1.0]","[0.0, 0.6153846153846154, 0.8461538461538461, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,DLC1,BHLHE23,TMEM196,SCARF1,"[0.0, 0.23076923076923078, 0.3076923076923077, 0.38461538461538464, 1.0]","[0.0, 0.7692307692307693, 0.9230769230769231, 0.9230769230769231, 1.0]",[       inf 1.         0.33333333 0.25       0.        ]
DecisionTree,DOC2A,BHLHE23,MIR377,SCARF1,"[0.0, 0.23076923076923078, 0.5384615384615384, 0.6153846153846154, 1.0]","[0.0, 0.6153846153846154, 0.8461538461538461, 0.8461538461538461, 1.0]",[       inf 1.         0.5        0.33333333 0.        ]
DecisionTree,DOC2A,BHLHE23,PATE2,SCARF1,"[0.0, 0.23076923076923078, 0.46153846153846156, 1.0]","[0.0, 0.7692307692307693, 0.7692307692307693, 1.0]",[ inf 1.   0.75 0.  ]
DecisionTree,DOC2A,BHLHE23,PCK1,SCARF1,"[0.0, 0.23076923076923078, 0.38461538461538464, 0.38461538461538464, 0.5384615384615384, 1.0]","[0.0, 0.6923076923076923, 0.6923076923076923, 0.7692307692307693, 0.7692307692307693, 1.0]",[       inf 1.         0.66666667 0.5        0.33333333 0.        ]
DecisionTree,DOC2A,BHLHE23,RALYL,SCARF1,"[0.0, 0.07692307692307693, 0.07692307692307693, 0.3076923076923077, 0.6923076923076923, 1.0]","[0.0, 0.6153846153846154, 0.6923076923076923, 0.9230769230769231, 0.9230769230769231, 1.0]",[       inf 1.         0.66666667 0.5        0.33333333 0.        ]
DecisionTree,DOC2A,BHLHE23,SNORD115-10,SCARF1,"[0.0, 0.38461538461538464, 1.0]","[0.0, 0.5384615384615384, 1.0]",[inf  1.  0.]
DecisionTree,DOC2A,BHLHE23,TMEM196,SCARF1,"[0.0, 0.15384615384615385, 0.3076923076923077, 1.0]","[0.0, 0.8461538461538461, 0.8461538461538461, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,PCDHB15,BHLHE23,MIR377,SCARF1,"[0.0, 0.07692307692307693, 0.15384615384615385, 0.23076923076923078, 0.46153846153846156, 1.0]","[0.0, 0.6153846153846154, 0.6153846153846154, 0.7692307692307693, 0.7692307692307693, 1.0]",[       inf 1.         0.75       0.33333333 0.25       0.        ]
DecisionTree,PCDHB15,BHLHE23,PATE2,SCARF1,"[0.0, 0.15384615384615385, 0.15384615384615385, 0.3076923076923077, 1.0]","[0.0, 0.5384615384615384, 0.6923076923076923, 0.6923076923076923, 1.0]",[       inf 1.         0.75       0.33333333 0.        ]
DecisionTree,PCDHB15,BHLHE23,PCK1,SCARF1,"[0.0, 0.23076923076923078, 0.3076923076923077, 1.0]","[0.0, 0.8461538461538461, 0.8461538461538461, 1.0]",[inf 1.  0.5 0. ]
DecisionTree,PCDHB15,BHLHE23,RALYL,SCARF1,"[0.0, 0.15384615384615385, 0.23076923076923078, 0.3076923076923077, 0.38461538461538464, 1.0]","[0.0, 0.5384615384615384, 0.6153846153846154, 0.7692307692307693, 0.7692307692307693, 1.0]",[       inf 1.         0.66666667 0.5        0.33333333 0.        ]
DecisionTree,PCDHB15,BHLHE23,SNORD115-10,SCARF1,"[0.0, 0.23076923076923078, 0.38461538461538464, 0.6923076923076923, 1.0]","[0.0, 0.5384615384615384, 0.6153846153846154, 0.9230769230769231, 1.0]",[       inf 1.         0.66666667 0.5        0.        ]
DecisionTree,PCDHB15,BHLHE23,TMEM196,SCARF1,"[0.0, 0.23076923076923078, 1.0]","[0.0, 0.8461538461538461, 1.0]",[inf  1.  0.]
